SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-1-2020,Single Family Residential,14007 156th Ave SE,Renton,WA,98059,565000,4,2.0,Maplewood Heights,1600,14960,1960,,353,,Sold,,,https://www.redfin.com/WA/Renton/14007-156th-Ave-SE-98059/home/246214,NWMLS,1638408,N,Y,47.4771882,-122.132589
PAST SALE,June-2-2022,Single Family Residential,3523 NE 6th St,Renton,WA,98056,560000,2,1.0,Highlands,660,5400,1953,,848,,Sold,,,https://www.redfin.com/WA/Renton/3523-NE-6th-St-98056/home/242062,NWMLS,1922661,N,Y,47.491996,-122.1713841
PAST SALE,June-22-2018,Single Family Residential,5126 NE 8th St,Renton,WA,98059,769000,4,2.5,Highlands,3170,5602,2009,,243,,Sold,,,https://www.redfin.com/WA/Renton/5126-NE-8th-St-98059/home/22271005,NWMLS,1294094,N,Y,47.4958922,-122.150363
PAST SALE,August-28-2020,Condo/Co-op,611 SW 5th Ct Unit A408,Renton,WA,98057,277200,3,2.0,Renton,1134,,1981,,244,438,Sold,,,https://www.redfin.com/WA/Renton/611-SW-5th-Ct-98057/unit-A408/home/2091047,NWMLS,1622021,N,Y,47.4761805,-122.225818
PAST SALE,April-6-2018,Single Family Residential,688 Ilwaco Pl NE,Renton,WA,98059,750000,5,2.5,Renton,2462,4501,2010,,305,,Sold,,,https://www.redfin.com/WA/Renton/688-Ilwaco-Pl-NE-98059/home/28581652,NWMLS,1255762,N,Y,47.4939533,-122.1486534
PAST SALE,September-26-2022,Condo/Co-op,975 Aberdeen Ave NE Unit C301,Renton,WA,98056,320000,3,2.0,Renton,1121,,1990,,285,597,Sold,,,https://www.redfin.com/WA/Renton/975-Aberdeen-Ave-NE-98056/unit-C301/home/5049,NWMLS,1958523,N,Y,47.5003551,-122.1921557
PAST SALE,June-29-2021,Single Family Residential,253 Field Pl SE,Renton,WA,98059,1300000,5,3.5,Maplewood Heights,3240,7363,2017,,401,68,Sold,,,https://www.redfin.com/WA/Renton/253-Field-Pl-SE-98059/home/109661986,NWMLS,1778692,N,Y,47.481081,-122.153258
PAST SALE,October-3-2019,Single Family Residential,625 Kitsap Ave NE,Renton,WA,98059,715000,4,2.5,Highlands,2521,4349,2010,,284,67,Sold,,,https://www.redfin.com/WA/Renton/625-Kitsap-Ave-NE-98059/home/22223744,NWMLS,1503286,N,Y,47.4927467,-122.1470574
PAST SALE,May-9-2019,Townhouse,5032 Davis Ave S Unit B,Renton,WA,98055,365000,2,2.5,Renton,1292,,2000,,283,334,Sold,,,https://www.redfin.com/WA/Renton/5032-Davis-Ave-S-98055/unit-B/home/36774,NWMLS,1402495,N,Y,47.434399,-122.2141833
PAST SALE,July-20-2018,Single Family Residential,2103 Harrington Pl NE,Renton,WA,98056,599950,4,2.5,Kennydale,2150,7303,2005,,279,,Sold,,,https://www.redfin.com/WA/Renton/2103-Harrington-Pl-NE-98056/home/2083867,NWMLS,1301306,N,Y,47.510923,-122.1826107
PAST SALE,July-12-2018,Single Family Residential,16638 SE 167th St,Renton,WA,98058,780000,5,4.0,Fairwood,4100,6308,2004,,190,44,Sold,,,https://www.redfin.com/WA/Renton/16638-SE-167th-St-98058/home/2075947,NWMLS,1292111,N,Y,47.4529089,-122.1179537
PAST SALE,November-18-2019,Townhouse,18886 108th Ln SE,Renton,WA,98055,380000,3,2.5,Renton,1550,1517,2005,,245,271,Sold,,,https://www.redfin.com/WA/Renton/18886-108th-Ln-SE-98055/home/2089700,NWMLS,1514119,N,Y,47.4332466,-122.1945806
PAST SALE,September-11-2019,Single Family Residential,3601 NE 23rd Ct,Renton,WA,98056,429000,3,1.0,Highlands,1280,15900,1959,,335,,Sold,,,https://www.redfin.com/WA/Renton/3601-NE-23rd-Ct-98056/home/409800,NWMLS,1495850,N,Y,47.5127023,-122.1707359
PAST SALE,October-8-2021,Townhouse,17537 110th Ln SE #19,Renton,WA,98055,495000,3,2.5,Renton,1610,,1999,,307,395,Sold,,,https://www.redfin.com/WA/Renton/17537-110-Ln-SE-98055/unit-19/home/26849890,NWMLS,1835428,N,Y,47.4474737,-122.1928984
PAST SALE,May-21-2021,Single Family Residential,16966 129th Ave SE,Renton,WA,98058,720000,3,2.5,Fairwood,1755,10396,1966,,410,,Sold,,,https://www.redfin.com/WA/Renton/16966-129th-Ave-SE-98058/home/229785,NWMLS,1757195,N,Y,47.4502806,-122.1682852
PAST SALE,,Single Family Residential,15006 SE 145th Pl,Renton,WA,98059,650000,3,2.5,,1850,10100,1984,,351,,,,,https://www.redfin.com/WA/Renton/15006-SE-145th-Pl-98059/home/247011,,,N,Y,47.4727902,-122.1395585
PAST SALE,January-29-2021,Condo/Co-op,7035 S 133rd St Unit C100,Seattle,WA,98178,245000,2,2.0,Seattle,1100,214982,2006,,223,305,Sold,,,https://www.redfin.com/WA/Seattle/7035-S-133rd-St-98178/unit-C100/home/11904138,NWMLS,1697316,N,Y,47.483087,-122.244752
PAST SALE,May-9-2019,Single Family Residential,15523 157th Ct SE,Renton,WA,98058,518000,3,2.5,Summerfield,2130,9305,1991,,243,25,Sold,,,https://www.redfin.com/WA/Renton/15523-157th-Ct-SE-98058/home/423555,NWMLS,1429771,N,Y,47.4635783,-122.1294885
PAST SALE,June-2-2021,Single Family Residential,12612 SE 158th St,Renton,WA,98058,510000,4,1.5,Renton,2020,7700,1962,,252,,Sold,,,https://www.redfin.com/WA/Renton/12612-SE-158th-St-98058/home/228924,NWMLS,1765584,N,Y,47.4611594,-122.1719333
PAST SALE,August-2-2022,Single Family Residential,1808 Pierce Ave NE,Renton,WA,98056,999999,5,3.0,Renton,2212,6712,2012,,452,19,Sold,,,https://www.redfin.com/WA/Renton/1808-Pierce-Ave-NE-98056/home/44653778,NWMLS,1949230,Y,Y,47.5080164,-122.1710488
PAST SALE,June-24-2019,Single Family Residential,6119 SE 2nd Pl,Renton,WA,98059,565000,4,3.0,Highlands,2070,4502,2004,,273,29,Sold,,,https://www.redfin.com/WA/Renton/6119-SE-2nd-Pl-98059/home/245978,NWMLS,1441275,N,Y,47.48089,-122.1368
PAST SALE,July-22-2021,Single Family Residential,5255 NE 7th Pl,Renton,WA,98059,1000000,3,2.5,Renton,2690,6026,2009,,372,40,Sold,,,https://www.redfin.com/WA/Renton/5255-NE-7th-Pl-98059/home/17465749,NWMLS,1792632,N,Y,47.49445,-122.1488381
PAST SALE,November-13-2019,Single Family Residential,18626 116th Ave SE,Renton,WA,98058,415000,3,2.0,Benson Hill,2040,47044,1951,,203,,Sold,,,https://www.redfin.com/WA/Renton/18626-116th-Ave-SE-98058/home/390218,NWMLS,1487019,N,Y,47.4355209,-122.1858664
PAST SALE,December-10-2021,Single Family Residential,4720 NE 13th Pl,Renton,WA,98059,890000,5,3.5,Highlands,2640,3395,2009,,337,35,Sold,,,https://www.redfin.com/WA/Renton/4720-NE-13th-Pl-98059/home/22229846,NWMLS,1855564,N,Y,47.5047595,-122.1552897
PAST SALE,September-28-2018,Single Family Residential,6827 NE 1st Pl,Renton,WA,98059,540000,4,2.5,Highlands,1790,6120,2005,,302,30,Sold,,,https://www.redfin.com/WA/Renton/6827-NE-1st-Pl-98059/home/2066964,NWMLS,1346194,N,Y,47.4829053,-122.1279438
PAST SALE,,Condo/Co-op,17626 134th Ln SE,Renton,WA,98058,393000,2,2.0,,1072,,1998,,367,,,,,https://www.redfin.com/WA/Renton/17626-134th-Ln-SE-98058/home/26154,,,N,Y,47.4447142,-122.1610143
PAST SALE,April-7-2020,Single Family Residential,1409 Monterey Ave NE,Renton,WA,98056,465000,3,1.0,Kennydale,940,7150,1957,,495,,Sold,,,https://www.redfin.com/WA/Renton/1409-Monterey-Ave-NE-98056/home/411137,NWMLS,1576899,N,Y,47.5051306,-122.1929182
PAST SALE,June-1-2018,Townhouse,18879 108th Ln SE,Renton,WA,98055,360000,2,2.5,Benson Hill,1280,1566,2005,,281,250,Sold,,,https://www.redfin.com/WA/Renton/18879-108th-Ln-SE-98055/home/2076514,NWMLS,1276594,N,Y,47.433606,-122.194872
PAST SALE,December-14-2020,Single Family Residential,17733 SE 110th St,Renton,WA,98059,810000,3,3.0,East Renton,2682,35236,2005,,302,,Sold,,,https://www.redfin.com/WA/Renton/17733-SE-110th-St-98059/home/8184920,NWMLS,1682849,N,Y,47.5033666,-122.1031468
PAST SALE,September-26-2018,Single Family Residential,14301 SE 163rd St,Renton,WA,98058,529999,4,2.5,Renton,1900,9010,1968,,279,25,Sold,,,https://www.redfin.com/WA/Renton/14301-SE-163rd-St-98058/home/232507,NWMLS,1337585,N,Y,47.4561998,-122.1482977
PAST SALE,March-18-2021,Single Family Residential,13905 174th Ter SE,Renton,WA,98059,1150000,5,3.0,Renton,3550,7773,2015,,324,52,Sold,,,https://www.redfin.com/WA/Renton/13905-174th-Ter-SE-98059/home/69356694,NWMLS,1719094,N,Y,47.4782336,-122.1086601
PAST SALE,April-30-2018,Condo/Co-op,2300 Jefferson Ave NE Unit J-140,Renton,WA,98056,295000,2,2.0,Renton,1078,,1997,,274,392,Sold,,,https://www.redfin.com/WA/Renton/2300-Jefferson-Ave-NE-98056/unit-J-140/home/145246782,NWMLS,1264687,N,Y,47.5114606,-122.1791451
PAST SALE,December-4-2019,Condo/Co-op,1800 NE 40th St Unit D 101,Newcastle,WA,98056,328000,2,2.0,Newcastle,1076,143292,1999,,305,414,Sold,,,https://www.redfin.com/WA/Renton/1800-NE-40th-St-98056/unit-D101/home/30105,NWMLS,1521991,N,Y,47.527765,-122.1940462
PAST SALE,November-12-2021,Single Family Residential,15504 SE 178th Pl,Renton,WA,98058,746000,5,3.0,Renton,2050,9760,1978,,364,25,Sold,,,https://www.redfin.com/WA/Renton/15504-SE-178th-Pl-98058/home/231140,NWMLS,1851889,N,Y,47.4416622,-122.1336787
PAST SALE,March-3-2020,Single Family Residential,1807 Ferndale Ave SE,Renton,WA,98058,469500,3,3.0,Renton,1790,8250,1980,,262,,Sold,,,https://www.redfin.com/WA/Renton/1807-Ferndale-Ave-SE-98058/home/229238,NWMLS,1558662,N,Y,47.4636126,-122.1807032
PAST SALE,December-11-2018,Single Family Residential,2906 NE 5th Pl,Renton,WA,98056,355000,4,1.5,Renton,1090,8507,1943,,326,,Sold,,,https://www.redfin.com/WA/Renton/2906-NE-5th-Pl-98056/home/241096,NWMLS,1356683,N,Y,47.4913895,-122.1801264
PAST SALE,May-29-2020,Townhouse,4811 Davis Pl S Unit 47B,Renton,WA,98055,374950,2,2.5,Talbot Hill,1460,,2000,,257,355,Sold,,,https://www.redfin.com/WA/Renton/4811-Davis-Pl-S-98055/unit-47B/home/68035,NWMLS,1590297,N,Y,47.435164,-122.215875
PAST SALE,March-10-2020,Single Family Residential,478 Grandey Way NE,Renton,WA,98056,475000,4,2.0,Highlands,1360,7900,1943,,349,,Sold,,,https://www.redfin.com/WA/Renton/478-Grandey-Way-NE-98056/home/241185,NWMLS,1562084,N,Y,47.490111,-122.190601
PAST SALE,September-20-2019,Single Family Residential,18568 115th Pl SE,Renton,WA,98055,587990,4,3.0,Benson Hill,2345,3803,2015,,251,40,Sold,,,https://www.redfin.com/WA/Renton/18568-115th-Pl-SE-98055/home/106725296,NWMLS,1449683,N,Y,47.43699,-122.186618
PAST SALE,February-26-2021,Single Family Residential,19017 114th Ct SE,Renton,WA,98055,728000,4,2.5,Renton,3250,7622,1993,,224,25,Sold,,,https://www.redfin.com/WA/Renton/19017-114th-Ct-SE-98055/home/389066,NWMLS,1716197,N,Y,47.4311978,-122.1894597
PAST SALE,August-26-2020,Single Family Residential,1913 NE 21st St,Renton,WA,98056,750000,3,2.5,Kennydale,2100,6559,2005,,357,36,Sold,,,https://www.redfin.com/WA/Renton/1913-NE-21st-St-98056/home/8187362,NWMLS,1637819,N,Y,47.5104805,-122.1925991
PAST SALE,May-13-2021,Single Family Residential,2114 NE 18th St,Renton,WA,98056,985000,4,3.0,Kennydale,2890,7350,2008,,341,,Sold,,,https://www.redfin.com/WA/Renton/2114-NE-18th-St-98056/home/18659902,NWMLS,1747046,N,Y,47.5083356,-122.1901832
PAST SALE,February-15-2022,Single Family Residential,16422 SE 165th Way,Renton,WA,98058,1170000,4,2.5,Fairwood,2890,6294,2004,,405,50,Sold,,,https://www.redfin.com/WA/Renton/16422-SE-165th-Way-98058/home/2080093,NWMLS,1877116,N,Y,47.4544447,-122.1203571
PAST SALE,February-25-2020,Single Family Residential,12957 SE 157th Pl,Renton,WA,98058,390000,2,1.0,Cascade,910,7241,1981,,429,,Sold,,,https://www.redfin.com/WA/Renton/12957-SE-157th-Pl-98058/home/229924,NWMLS,1555785,N,Y,47.4613938,-122.1665586
PAST SALE,September-23-2021,Single Family Residential,12714 SE 167th Pl,Renton,WA,98058,640000,3,2.5,Cascade,1560,7472,1966,,410,,Sold,,,https://www.redfin.com/WA/Renton/12714-SE-167th-Pl-98058/home/228228,NWMLS,1826325,N,Y,47.4531962,-122.1720402
PAST SALE,November-24-2021,Single Family Residential,8421 S 124th St,Seattle,WA,98178,671000,4,2.0,Renton,1700,9810,1945,,395,,Sold,,,https://www.redfin.com/WA/Seattle/8421-S-124th-St-98178/home/199319,NWMLS,1855984,N,Y,47.4916494,-122.2267681
PAST SALE,April-5-2021,Single Family Residential,1642 Index Ave SE,Renton,WA,98058,700000,3,2.5,Tiffany Park,1800,20590,1977,,389,,Sold,,,https://www.redfin.com/WA/Renton/1642-Index-Ave-SE-98058/home/230355,NWMLS,1741034,N,Y,47.467265,-122.1772134
PAST SALE,February-9-2022,Townhouse,17539 110th Ln SE #20,Renton,WA,98055,541000,3,2.5,Benson Hill,1610,1610,1999,,336,465,Sold,,,https://www.redfin.com/WA/Renton/17539-110-Ln-SE-98055/unit-20/home/177877859,NWMLS,1877576,N,Y,47.4474737,-122.1928984
PAST SALE,July-26-2022,Single Family Residential,4705 NE 1st Ct,Renton,WA,98059,1150000,4,2.5,Highlands,2860,5675,2008,,402,38,Sold,,,https://www.redfin.com/WA/Renton/4705-NE-1st-Ct-98059/home/18661138,NWMLS,1946903,N,Y,47.4840165,-122.1560051
PAST SALE,May-14-2021,Single Family Residential,322 Graham Ave SE,Renton,WA,98059,1255000,4,2.5,Maplewood Heights,3370,7437,2016,,372,68,Sold,,,https://www.redfin.com/WA/Renton/322-Graham-Ave-SE-98059/home/109661975,NWMLS,1753868,N,Y,47.4801363,-122.1515232
PAST SALE,June-29-2021,Single Family Residential,18930 179th Pl SE,Renton,WA,98058,1160000,5,3.5,Renton,3560,7353,2015,,326,47,Sold,,,https://www.redfin.com/WA/Renton/18930-179th-Pl-SE-98058/home/101612042,NWMLS,1760172,N,Y,47.4320098,-122.1014072
PAST SALE,November-4-2021,Single Family Residential,17264 SE 185th St,Renton,WA,98058,948000,4,3.0,Renton,3040,6777,2000,,312,42,Sold,,,https://www.redfin.com/WA/Renton/17264-SE-185th-St-98058/home/390503,NWMLS,1843331,N,Y,47.4364489,-122.1111878
PAST SALE,July-30-2020,Single Family Residential,1015 Jones Ave S,Renton,WA,98057,610000,3,3.0,Spring Glen,1660,21121,1969,,367,,Sold,,,https://www.redfin.com/WA/Renton/1015-Jones-Ave-S-98057/home/229986,NWMLS,1621364,N,Y,47.4708653,-122.197015
PAST SALE,May-9-2018,Single Family Residential,1422 Dayton Ct NE,Renton,WA,98056,600000,5,4.0,Kennydale,2182,7643,1979,,275,,Sold,,,https://www.redfin.com/WA/Renton/1422-Dayton-Ct-NE-98056/home/412347,NWMLS,1265182,N,Y,47.5054883,-122.1864006
PAST SALE,June-3-2021,Townhouse,1555 Union Ave NE #8,Renton,WA,98059,405000,2,1.5,Highlands,1129,,1980,,359,473,Sold,,,https://www.redfin.com/WA/Renton/1555-Union-Ave-NE-98059/unit-8/home/21958121,NWMLS,1764571,N,Y,47.5060854,-122.1667871
PAST SALE,December-28-2021,Single Family Residential,17656 157th Ave SE,Renton,WA,98058,824520,3,2.5,Fairwood,2180,8740,1977,,378,16,Sold,,,https://www.redfin.com/WA/Renton/17656-157th-Ave-SE-98058/home/232634,NWMLS,1866986,N,Y,47.4435263,-122.1323511
PAST SALE,May-6-2021,Single Family Residential,6618 SE 6th St,Renton,WA,98059,1250000,5,4.0,Highlands,3930,8345,2017,,318,38,Sold,,,https://www.redfin.com/WA/Renton/6618-SE-6th-St-98059/home/113179199,NWMLS,1750785,N,Y,47.4770936,-122.1298931
PAST SALE,September-30-2022,Condo/Co-op,7035 S 133rd St Unit A103,Seattle,WA,98178,313000,2,2.0,Seattle,1040,,2006,,301,293,Sold,,,https://www.redfin.com/WA/Seattle/7035-S-133rd-St-98178/unit-A103/home/2118537,NWMLS,1972001,N,Y,47.4792281,-122.2470959
PAST SALE,November-30-2020,Single Family Residential,15441 SE Fairwood Blvd,Renton,WA,98058,722000,5,4.0,Renton,3250,10720,1973,,222,25,Sold,,,https://www.redfin.com/WA/Renton/15441-SE-Fairwood-Blvd-98058/home/231923,NWMLS,1676947,N,Y,47.448762,-122.1342073
PAST SALE,July-13-2022,Condo/Co-op,801 Rainier Ave N Unit A301,Renton,WA,98057,340000,2,2.0,Renton,950,,1998,,358,492,Sold,,,https://www.redfin.com/WA/Renton/801-Rainier-Ave-N-98057/unit-A301/home/2090067,NWMLS,1953030,N,Y,47.4958552,-122.220101
PAST SALE,November-1-2021,Single Family Residential,16537 164th Pl SE,Renton,WA,98058,929000,4,2.5,Fairwood,3050,7184,2004,,305,50,Sold,,,https://www.redfin.com/WA/Renton/16537-164th-Pl-SE-98059/home/2096926,NWMLS,1841819,N,Y,47.454499,-122.121725
PAST SALE,September-22-2020,Condo/Co-op,4008 NE 3rd Pl,Renton,WA,98056,432000,2,2.5,Highlands,1635,8357,2013,,264,370,Sold,,,https://www.redfin.com/WA/Renton/4008-NE-3rd-Pl-98056/home/52356063,NWMLS,1645633,N,Y,47.487536,-122.1646689
PAST SALE,October-29-2021,Single Family Residential,2008 SE 16th Ct,Renton,WA,98055,390000,2,1.5,Rolling Hills,1270,1800,1966,,307,386,Sold,,,https://www.redfin.com/WA/Renton/2008-SE-16th-Ct-98055/home/228237,NWMLS,1844443,N,Y,47.4654529,-122.190118
PAST SALE,November-23-2021,Single Family Residential,2013 NE 15th St,Renton,WA,98056,900000,4,2.5,Kennydale,2250,5500,2004,,400,,Sold,,,https://www.redfin.com/WA/Renton/2013-NE-15th-St-98056/home/17074095,NWMLS,1855721,N,Y,47.505309,-122.1916686
PAST SALE,November-18-2020,Condo/Co-op,19131 110th Pl SE,Renton,WA,98055,355000,2,2.5,Renton,1231,,1998,,288,370,Sold,,,https://www.redfin.com/WA/Renton/19131-110th-Pl-SE-98055/home/17080624,NWMLS,1663347,N,Y,47.4307952,-122.1941229
PAST SALE,October-1-2021,Single Family Residential,602 ilwaco Pl NE,Renton,WA,98059,800000,4,2.5,Highlands,1660,5272,2010,,482,,Sold,,,https://www.redfin.com/WA/Renton/602-Ilwaco-Pl-NE-98059/home/28581658,NWMLS,1815479,N,Y,47.4922036,-122.1486559
PAST SALE,April-7-2020,Single Family Residential,1013 S 38th Ct,Renton,WA,98055,704500,4,2.5,Talbot Hill,2950,6986,2006,,239,50,Sold,,,https://www.redfin.com/WA/Renton/1013-S-38th-Ct-98055/home/2115579,NWMLS,1569172,N,Y,47.4450056,-122.2053651
PAST SALE,May-3-2022,Single Family Residential,5034 NE 2nd Ct,Renton,WA,98059,907500,3,2.5,Highlands,1630,6735,2010,,557,,Sold,,,https://www.redfin.com/WA/Renton/5034-NE-2nd-Ct-98059/home/22807904,NWMLS,1908457,N,Y,47.4861755,-122.1512894
PAST SALE,May-4-2020,Townhouse,3240 SE 12th St #1035,Renton,WA,98058,340500,2,2.5,Renton,1411,,2003,,241,334,Sold,,,https://www.redfin.com/WA/Renton/3240-SE-12th-St-98058/unit-1035/home/171106226,NWMLS,1590734,N,Y,47.4716293,-122.1793306
PAST SALE,July-17-2018,Single Family Residential,15740 143rd Ave SE,Renton,WA,98058,670000,5,3.0,Fairwood,2910,8806,1999,,230,28,Sold,,,https://www.redfin.com/WA/Renton/15740-143rd-Ave-SE-98058/home/422719,NWMLS,1279977,N,Y,47.4627189,-122.1450388
PAST SALE,June-30-2022,Condo/Co-op,1425 S Puget Dr Unit B1,Renton,WA,98055,250000,1,1.5,Benson Hill,800,,1968,,313,371,Sold,,,https://www.redfin.com/WA/Renton/1425-S-Puget-Dr-98055/unit-B1/home/46170,NWMLS,1939888,N,Y,47.4602984,-122.1999069
PAST SALE,September-6-2018,Condo/Co-op,1555 Union Ave NE Unit G44,Renton,WA,98059,275000,2,1.5,Highlands,1035,267702,1980,,266,398,Sold,,,https://www.redfin.com/WA/Renton/1555-Union-Ave-NE-98059/unit-G44/home/20348,NWMLS,1330531,N,Y,47.5061681,-122.165154
PAST SALE,July-15-2021,Single Family Residential,1668 Lake Youngs Way SE,Renton,WA,98058,500000,3,1.5,Tiffany Park,1320,8925,1975,,379,,Sold,,,https://www.redfin.com/WA/Renton/1668-Lake-Youngs-Way-SE-98058/home/227010,NWMLS,1788302,N,Y,47.4659216,-122.1768059
PAST SALE,October-1-2019,Condo/Co-op,1500 S 18th St Unit E201,Renton,WA,98055,305000,2,2.0,Spring Glen,1153,,1999,,265,374,Sold,,,https://www.redfin.com/WA/Renton/1500-S-18th-St-98055/unit-E201/home/41637,NWMLS,1508172,N,Y,47.4649387,-122.1970774
PAST SALE,January-20-2021,Single Family Residential,15416 SE 132nd St,Renton,WA,98059,597111,3,2.5,East Renton,1520,16104,1967,,393,,Sold,,,https://www.redfin.com/WA/Renton/15416-SE-132nd-St-98059/home/246714,NWMLS,1696699,N,Y,47.484956,-122.1345423
PAST SALE,May-26-2022,Single Family Residential,4805 NE 21st St,Renton,WA,98059,1050000,4,3.0,Highlands,2095,7557,1987,,501,28,Sold,,,https://www.redfin.com/WA/Renton/4805-NE-21st-St-98059/home/412252,NWMLS,1918532,N,Y,47.510722,-122.1547808
PAST SALE,October-24-2019,Single Family Residential,4907 NE 25th St,Renton,WA,98059,723000,3,2.5,Highlands,3080,10001,2010,,235,7,Sold,,,https://www.redfin.com/WA/Renton/4907-NE-25th-St-98059/home/22719046,NWMLS,1478695,N,Y,47.5135317,-122.1531668
PAST SALE,May-16-2019,Single Family Residential,13314 SE 160th Pl,Renton,WA,98058,475000,4,2.5,Fairwood,1950,15810,1968,,244,12,Sold,,,https://www.redfin.com/WA/Renton/13314-SE-160th-Pl-98058/home/227201,NWMLS,1433272,N,Y,47.4592824,-122.1605062
PAST SALE,June-10-2022,Single Family Residential,4127 NE 5th Ct,Renton,WA,98059,925000,4,2.5,East Renton,2270,3883,2004,,407,20,Sold,,,https://www.redfin.com/WA/Renton/4127-NE-5th-Ct-98059/home/2060557,NWMLS,1923258,N,Y,47.4915106,-122.1634015
PAST SALE,October-15-2021,Single Family Residential,801 SW 3rd Pl,Renton,WA,98057,724000,5,3.0,Earlington,2440,6949,2006,,297,,Sold,,,https://www.redfin.com/WA/Renton/801-SW-3rd-Pl-98057/home/2115635,NWMLS,1823127,N,Y,47.4789258,-122.2281491
PAST SALE,January-24-2020,Single Family Residential,15605 139th Ct SE,Renton,WA,98058,525000,3,2.0,Renton,1490,13908,1988,,352,16,Sold,,,https://www.redfin.com/WA/Renton/15605-139th-Ct-SE-98058/home/423283,NWMLS,1554838,N,Y,47.4623054,-122.1531739
PAST SALE,May-18-2021,Single Family Residential,15845 SE 156th St,Renton,WA,98058,715000,3,2.5,Renton,1680,7000,1989,,426,30,Sold,,,https://www.redfin.com/WA/Renton/15845-SE-156th-St-98058/home/423630,NWMLS,1757030,N,Y,47.4626753,-122.1284237
PAST SALE,,Condo/Co-op,14120 SE 171st Way Unit C102,Renton,WA,98058,320000,2,2.0,,1033,,1996,,310,,,,,https://www.redfin.com/WA/Renton/14120-SE-171st-Way-98058/unit-C102/home/29609,,,N,Y,47.4477604,-122.1512513
PAST SALE,September-7-2022,Condo/Co-op,1327 S Puget Dr Unit F37,Renton,WA,98055,330000,2,1.5,Benson Hill,982,,1980,,336,426,Sold,,,https://www.redfin.com/WA/Renton/1327-S-Puget-Dr-98055/unit-F37/home/11806,NWMLS,1978256,N,Y,47.460291,-122.1985712
PAST SALE,August-18-2020,Single Family Residential,17227 130th Ave SE,Renton,WA,98058,460000,3,1.5,Renton,1310,8010,1968,,351,,Sold,,,https://www.redfin.com/WA/Renton/17227-130th-Ave-SE-98058/home/229751,NWMLS,1622735,N,Y,47.4477639,-122.1676109
PAST SALE,October-8-2021,Single Family Residential,1041 Duvall Pl NE,Renton,WA,98059,765000,4,2.5,Highlands,1810,4973,2003,,423,21,Sold,,,https://www.redfin.com/WA/Renton/1041-Duvall-Pl-NE-98059/home/243430,NWMLS,1831265,N,Y,47.500446,-122.1559844
PAST SALE,April-12-2019,Single Family Residential,3029 NE 7th St,Renton,WA,98056,348000,2,1.0,Highlands,970,8874,1968,,359,,Sold,,,https://www.redfin.com/WA/Renton/3029-NE-7th-St-98056/home/242221,NWMLS,1425237,N,Y,47.4943004,-122.1780537
PAST SALE,January-3-2018,Single Family Residential,754 Hoquiam Pl NE,Renton,WA,98059,655000,3,2.5,Highlands,2700,5833,2007,,243,,Sold,,,https://www.redfin.com/WA/Renton/754-Hoquiam-Pl-NE-98059/home/18660047,NWMLS,1223626,N,Y,47.494769,-122.150272
PAST SALE,August-31-2022,Single Family Residential,16467 111th Ave SE,Renton,WA,98055,550000,2,1.0,Benson Hill,1340,10125,1950,,410,,Sold,,,https://www.redfin.com/WA/Renton/16467-111th-Ave-SE-98055/home/229913,NWMLS,1970912,N,Y,47.4545406,-122.1931819
PAST SALE,,Single Family Residential,10247 126th Ave SE,Renton,WA,98056,350000,3,1.0,,1000,8160,1961,,350,,,,,https://www.redfin.com/WA/Renton/10247-126th-Ave-SE-98056/home/412737,,,N,Y,47.5107999,-122.1718359
PAST SALE,September-9-2022,Single Family Residential,251 Vashon Ave NE,Renton,WA,98059,900000,3,2.5,Maplewood Heights,2070,4296,2012,,435,46,Sold,,,https://www.redfin.com/WA/Renton/251-Vashon-Ave-NE-98059/home/40265136,NWMLS,1983866,N,Y,47.4859398,-122.1630741
PAST SALE,August-17-2020,Townhouse,108 S 49th Pl Unit B,Renton,WA,98055,375000,2,2.5,Talbot Hill,1394,,2000,,269,354,Sold,,,https://www.redfin.com/WA/Renton/108-S-49th-St-98055/unit-B/home/17080972,NWMLS,1634872,N,Y,47.435165,-122.215875
PAST SALE,September-30-2020,Single Family Residential,2022 Lincoln Pl NE,Renton,WA,98056,740000,3,2.5,Kennydale,2520,4803,2005,,294,36,Sold,,,https://www.redfin.com/WA/Renton/2022-Lincoln-Pl-NE-98056/home/2078282,NWMLS,1653416,N,Y,47.5103811,-122.1929161
PAST SALE,August-19-2019,Single Family Residential,11074 SE 181st St,Renton,WA,98055,549950,3,2.0,Renton,1510,11301,1959,,364,,Sold,,,https://www.redfin.com/WA/Renton/11074-SE-181st-St-98055/home/388469,NWMLS,1489114,N,Y,47.4407816,-122.1919243
PAST SALE,September-12-2022,Single Family Residential,13118 158th Ave SE,Renton,WA,98059,875000,3,2.0,Maplewood Heights,1950,17040,1970,,449,,Sold,,,https://www.redfin.com/WA/Renton/13118-158th-Ave-SE-98059/home/248134,NWMLS,1961859,N,Y,47.4849904,-122.1293209
